City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,26.73,40,43,4.33,AU,1675043877
1,kodiak,57.79,-152.4072,3.73,100,100,3.6,US,1675043878
2,ca mau,9.1769,105.15,24.62,55,73,4.25,VN,1675043878
3,vazante,-17.9869,-46.9078,20.47,91,100,0.59,BR,1675043879
4,carnarvon,-24.8667,113.6333,25.4,70,0,4.65,AU,1675043879
5,port elizabeth,-33.918,25.5701,17.4,71,40,2.06,ZA,1675043879
6,bredasdorp,-34.5322,20.0403,18.02,69,94,7.22,ZA,1675043880
7,fallon,39.4735,-118.7774,-2.16,59,100,1.79,US,1675043880
8,jamestown,42.097,-79.2353,0.01,97,100,4.63,US,1675043880
9,axim,4.8699,-2.2405,25.93,88,7,2.74,GH,1675043881
10,nancha,47.1333,129.2667,-16.25,74,11,1.09,CN,1675043881
11,portland,45.5234,-122.6762,1.45,37,0,4.02,US,1675043562
12,beloha,-25.1667,45.05,21.73,98,42,2.02,MG,1675043882
13,caravelas,-17.7125,-39.2481,23.99,87,3,2.07,BR,1675043882
14,nome,64.5011,-165.4064,0.09,93,100,10.29,US,1675043883
15,hobart,-42.8794,147.3294,25.59,47,20,3.6,AU,1675043871
16,cape town,-33.9258,18.4232,20.21,63,0,6.26,ZA,1675043880
17,chokurdakh,70.6333,147.9167,-35.51,98,100,2.36,RU,1675043884
18,vao,-22.6667,167.4833,25.05,72,13,4.06,NC,1675043885
19,tongzi,28.7829,105.0877,9.99,51,0,0.29,CN,1675043885
20,alice town,25.7167,-79.3,24.2,82,0,8.07,BS,1675043886
21,biak,-0.9131,122.8766,27.53,69,100,0.91,ID,1675043887
22,ilulissat,69.2167,-51.1,-11.25,61,100,5.01,GL,1675043588
23,seoul,37.5683,126.9778,0.69,42,0,2.06,KR,1675043263
24,easley,34.8298,-82.6015,9.47,93,100,1.54,US,1675043791
25,east london,-33.0153,27.9116,18.12,68,84,2.25,ZA,1675043889
26,markapur,15.7333,79.2833,21.31,90,17,2.35,IN,1675043630
27,bambous virieux,-20.3428,57.7575,25.12,94,20,1.54,MU,1675043890
28,san patricio,28.017,-97.5169,22.05,92,1,2.94,US,1675043891
29,chiesanuova,43.9045,12.4214,1.45,88,100,1.34,SM,1675043892
30,punta arenas,-53.15,-70.9167,10.06,76,75,3.6,CL,1675043893
31,lapithos,35.3375,33.1792,8.16,71,0,5.52,CY,1675043894
32,lapua,62.9693,23.0088,1.73,98,100,4.03,FI,1675043895
33,olga,43.7444,135.2892,-11.35,43,21,5.92,RU,1675043895
34,butler,39.4501,-84.5666,4.7,94,100,3.6,US,1675043608
35,rikitea,-23.1203,-134.9692,25.97,72,18,4.05,PF,1675043896
36,mataura,-46.1927,168.8643,24.26,52,100,2.3,NZ,1675043897
37,saskylakh,71.9167,114.0833,-40.23,99,73,2.26,RU,1675043898
